Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Policy/Extrinsic Reward,Environment/Episode Length,Is Training
20000,-0.5886761,2.8800836,-241.40740740740742,-241.40740740740742,539.8846153846154,1.0
30000,-1.004449,2.8799617,-243.9375,-243.9375,533.875,1.0
40000,-0.9975689,2.8797185,-243.5,-243.5,537.45,1.0
50000,-1.2631197,2.8804364,-234.3,-234.3,521.05,1.0
60000,-1.3046235,2.881125,-210.38095238095238,-210.38095238095238,500.8095238095238,1.0
70000,-1.5715417,2.8723288,-171.85,-171.85,460.6,1.0
80000,-1.4956518,2.8682637,-147.48,-147.48,442.48,1.0
90000,-1.5528893,2.8599608,-136.0,-136.0,434.2916666666667,1.0
100000,-1.6898791,2.8535678,-114.25925925925925,-114.25925925925925,411.55555555555554,1.0
110000,-1.8532372,2.8446724,-86.6086956521739,-86.6086956521739,385.8695652173913,1.0
120000,-1.6108054,2.8381999,-59.5,-59.5,363.82142857142856,1.0
130000,-1.8878897,2.8261728,-57.964285714285715,-57.964285714285715,356.6896551724138,1.0
140000,-1.9126168,2.81756,-25.40625,-25.40625,331.7741935483871,1.0
150000,-1.99362,2.8186705,-17.93548387096774,-17.93548387096774,323.7096774193548,1.0
160000,-2.0155714,2.8186142,-10.290322580645162,-10.290322580645162,318.48387096774195,1.0
170000,-2.0341125,2.8160048,-16.875,-16.875,320.8125,1.0
180000,-2.3091862,2.8214834,-25.7,-25.7,327.9,1.0
190000,-2.3523104,2.816309,-26.03448275862069,-26.03448275862069,323.2758620689655,1.0
200000,-2.1417031,2.7970586,-18.375,-18.375,321.375,1.0
210000,-1.9508188,2.786463,4.138888888888889,4.138888888888889,302.3888888888889,1.0
220000,-2.0233214,2.776614,10.114285714285714,10.114285714285714,289.2857142857143,1.0
230000,-2.03418,2.7630427,11.06060606060606,11.06060606060606,288.88235294117646,1.0
240000,-1.6144879,2.7335756,31.205128205128204,31.205128205128204,262.79487179487177,1.0
250000,-1.3620166,2.7228248,40.35897435897436,40.35897435897436,259.0263157894737,1.0
260000,-1.3147578,2.6777394,56.23255813953488,56.23255813953488,238.34883720930233,1.0
270000,-1.4246078,2.6878467,58.476190476190474,58.476190476190474,237.5121951219512,1.0
280000,-1.502041,2.6744952,53.48780487804878,53.48780487804878,241.5121951219512,1.0
