Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
910000,-12.368844,1.6497823e-05,749.0,-630.0,-630.0,1.0
920000,-12.39555,1.6497823e-05,None,None,None,1.0
930000,-12.485291,1.6497823e-05,749.0,-630.0,-630.0,1.0
940000,-12.524652,1.6497823e-05,None,None,None,1.0
950000,-12.590191,1.6497823e-05,749.0,-630.0,-630.0,1.0
960000,-12.625437,1.6497823e-05,None,None,None,1.0
970000,-12.701356,1.6497823e-05,749.0,-630.0,-630.0,1.0
980000,-12.751712,1.6497823e-05,None,-630.0,-630.0,1.0
990000,-12.800347,1.6497823e-05,749.0,-630.0,-630.0,1.0
1000000,-12.840784,1.6497823e-05,749.0,-630.0,-630.0,1.0
