Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
720000,1.2480108,-0.035270683,432.04761904761904,-0.7410318078029723,-0.7410318078029723,1.0
730000,1.243086,-0.032901008,377.51612903225805,-0.44918284637312733,-0.44918284637312733,1.0
740000,1.1836329,-0.02741803,382.4166666666667,-0.4029028279085954,-0.4029028279085954,1.0
750000,1.1967102,-0.023799064,356.48275862068965,-0.6611190970454898,-0.6611190970454898,1.0
760000,1.2166657,-0.030087752,454.23809523809524,-0.7034394551407207,-0.7034394551407207,1.0
770000,1.2188623,-0.026223041,380.2857142857143,-0.6410988166376397,-0.6410988166376397,1.0
780000,1.1581659,-0.03143645,340.2962962962963,-0.4317500522094114,-0.4317500522094114,1.0
790000,1.1665405,-0.030113794,312.55263157894734,-0.19434238064127998,-0.19434238064127998,1.0
800000,1.1059043,-0.025815211,372.2173913043478,-0.5087639354169369,-0.5087639354169369,1.0
810000,1.103294,-0.026583029,336.64516129032256,-0.4106111610929171,-0.4106111610929171,1.0
820000,1.1219343,-0.009970333,313.83870967741933,-0.2833118731937101,-0.2833118731937101,1.0
830000,1.1178262,-0.003003137,337.55172413793105,-0.3679667169849078,-0.3679667169849078,1.0
840000,1.1215639,-0.009581607,349.37931034482756,-0.3852988928556442,-0.3852988928556442,1.0
850000,1.1255925,-0.011716614,326.03225806451616,-0.34291116073727607,-0.34291116073727607,1.0
860000,1.0910685,-0.013957302,332.14814814814815,-0.27350621339347625,-0.27350621339347625,1.0
870000,1.0825514,-0.019962268,355.90625,-0.2420101508949742,-0.2420101508949742,1.0
880000,1.0537708,-0.01130708,331.5925925925926,-0.1671111500925488,-0.1671111500925488,1.0
890000,1.0267566,-0.009407977,332.8529411764706,-0.44244122373707157,-0.44244122373707157,1.0
900000,1.0096533,-0.014991534,294.09375,-0.21653129113838077,-0.21653129113838077,1.0
910000,0.99396443,-0.009870925,299.5151515151515,-0.2144242816350677,-0.2144242816350677,1.0
920000,0.9818994,-0.012100063,306.15625,-0.4063854576088488,-0.4063854576088488,1.0
930000,0.9628452,-0.0056409608,282.9428571428571,-0.16100003570318222,-0.16100003570318222,1.0
940000,0.9629154,-0.0051638354,302.93939393939394,-0.2799697360306075,-0.2799697360306075,1.0
950000,0.94435024,-0.007929408,234.78571428571428,0.07836431455473568,0.07836431455473568,1.0
960000,0.94163245,-0.012305938,326.75,-0.4507396249100566,-0.4507396249100566,1.0
970000,0.9074712,-0.014283041,263.43243243243245,-0.12129633087250921,-0.12129633087250921,1.0
980000,0.9227936,-0.010080458,270.60526315789474,-0.20270943909119338,-0.20270943909119338,1.0
990000,0.89775854,-0.017587898,298.61764705882354,-0.2513636815728563,-0.2513636815728563,1.0
1000000,0.890911,-0.00451073,264.35897435897436,-0.1499060163131127,-0.1499060163131127,1.0
1010000,0.9127876,-0.004258427,262.55555555555554,-0.11909012617291631,-0.11909012617291631,1.0
