Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,19.5327868852459,2.291358,0.15605749486652978,0.15605749486652978,1.0
20000,1.4189383,19.496919917864478,2.259714,0.1868583162217659,0.1868583162217659,1.0
30000,3.261925,5.720538720538721,2.0049176,0.40915208613728127,0.40915208613728127,1.0
40000,3.418938,5.169031462060457,2.001142,0.4087546239210851,0.4087546239210851,1.0
50000,3.4189382,4.973668461998803,2.1266022,0.40765092647937834,0.40765092647937834,1.0
60000,3.418938,4.964221824686941,2.1396863,0.3995229576624926,0.3995229576624926,1.0
70000,3.4189382,6.011228070175439,23651.012,0.08695652173913043,0.08695652173913043,1.0
80000,3.4189382,6.3532008830022075,28955.04,0.015429831006612785,0.015429831006612785,1.0
90000,3.4189382,6.477511244377811,5194.597,0.10172026925953627,0.10172026925953627,1.0
100000,3.418938,6.643185298621746,9.576628,0.10474006116207951,0.10474006116207951,1.0
110000,3.418938,7.245251857968621,6.113517,0.10057708161582853,0.10057708161582853,1.0
120000,3.4189382,7.39529015979815,3.9960675,0.09312080536912752,0.09312080536912752,1.0
130000,3.4189382,6.332355099046222,3.9356515,0.27953044754218637,0.27953044754218637,1.0
140000,3.418938,5.865292096219931,4.0049677,0.3154639175257732,0.3154639175257732,1.0
150000,3.418938,6.909090909090909,3.931619,0.15560821484992102,0.15560821484992102,1.0
160000,3.418938,7.5127768313458265,3.9963908,0.013628620102214651,0.013628620102214651,1.0
170000,3.418938,7.586266094420601,3.9901626,0.01888412017167382,0.01888412017167382,1.0
180000,3.4189382,7.510221465076661,3.986171,0.01446808510638298,0.01446808510638298,1.0
190000,3.4189382,6.673312883435583,3.9795399,0.2417498081350729,0.2417498081350729,1.0
200000,3.418938,6.0049088359046285,3.9751496,0.42366946778711484,0.42366946778711484,1.0
210000,3.4189382,6.830853563038371,3.969842,0.2237871674491393,0.2237871674491393,1.0
220000,3.418938,7.405723905723906,3.963919,0.014297729184188394,0.014297729184188394,1.0
230000,3.418938,6.643458301453711,3.9576151,0.25688073394495414,0.25688073394495414,1.0
240000,3.418938,5.631055076310551,3.9518113,0.5149105367793241,0.5149105367793241,1.0
250000,3.4189382,5.422607578676943,3.9464445,0.4682080924855491,0.4682080924855491,1.0
260000,3.4189382,5.110091743119266,3.9395945,0.3905867970660147,0.3905867970660147,1.0
270000,3.4189382,5.058787878787879,3.934835,0.40096910963052695,0.40096910963052695,1.0
280000,3.4189382,5.113831089351285,3.9267542,0.40856269113149846,0.40856269113149846,1.0
290000,3.418938,5.07411907654921,3.9224303,0.42805100182149364,0.42805100182149364,1.0
300000,3.4189382,5.114373088685015,3.9133177,0.41529051987767585,0.41529051987767585,1.0
310000,3.418938,5.093235831809872,3.9095936,0.42230347349177333,0.42230347349177333,1.0
320000,3.4189382,5.139349294045426,3.899429,0.4039287906691222,0.4039287906691222,1.0
330000,3.4189382,5.053906723198062,3.8961897,0.4128329297820823,0.4128329297820823,1.0
340000,3.4189382,5.064281382656155,3.8850439,0.4117647058823529,0.4117647058823529,1.0
